id,first_name,last_name,email,phone_number,date_of_birth,primary_city,primary_state,account_creation_date,persona_type,usual_login_device,is_vpn_user
1,Sneha,Deshmukh,sneha.deshmukh872@example.com,+91 7478921939,1962-09-13,Bengaluru,Karnataka,2024-03-15 15:49:51,Student,iPhone 15,False
2,Riya,Bose,riya.bose582@example.com,+91 6633044721,1985-03-28,Bengaluru,Karnataka,2023-03-08 15:49:51,Daily Spender,Windows PC,False
3,Riya,Menon,riya.menon508@example.com,+91 6359570178,1970-05-12,Pune,Maharashtra,2023-04-16 15:49:51,Daily Spender,iPhone 15,False
4,Kavya,Deshmukh,kavya.deshmukh313@example.com,+91 6277381097,2006-12-07,Chennai,Tamil Nadu,2024-12-28 15:49:51,Daily Spender,iPhone 15,False
5,Riya,Singh,riya.singh889@example.com,+91 9542940930,2006-11-17,Hyderabad,Telangana,2026-05-05 15:49:51,Daily Spender,MacBook Air,False
6,Aditya,Menon,aditya.menon524@example.com,+91 6824912265,1994-06-02,Hyderabad,Telangana,2023-10-20 15:49:51,Daily Spender,iPhone 15,False
7,Sneha,Menon,sneha.menon947@example.com,+91 7800734358,1995-09-12,Chennai,Tamil Nadu,2025-06-03 15:49:51,Student,Samsung Galaxy S23,False
8,Amit,Menon,amit.menon472@example.com,+91 8236202249,1985-03-19,Surat,Gujarat,2025-10-03 15:49:51,Daily Spender,iPhone 15,False
9,Kavya,Deshmukh,kavya.deshmukh814@example.com,+91 8506298494,1951-05-09,Surat,Gujarat,2024-12-09 15:49:51,Daily Spender,iPhone 13,False
10,Kavya,Nair,kavya.nair254@example.com,+91 8748794435,1972-06-12,Mumbai,Maharashtra,2024-01-13 15:49:51,Daily Spender,Samsung Galaxy S23,True
11,Karan,Das,karan.das928@example.com,+91 8740247235,1971-02-08,Mumbai,Maharashtra,2023-01-19 15:49:51,Student,Windows PC,False
12,Priya,Menon,priya.menon408@example.com,+91 6476790389,2003-10-14,Kolkata,West Bengal,2026-07-03 15:49:51,Daily Spender,Samsung Galaxy S23,False
13,Vikram,Gupta,vikram.gupta809@example.com,+91 6533136603,1992-07-09,Kolkata,West Bengal,2024-11-18 15:49:51,High Roller,iPhone 13,False
14,Rahul,Sharma,rahul.sharma938@example.com,+91 8389712196,2001-07-28,Surat,Gujarat,2023-04-01 15:49:51,High Roller,iPhone 15,False
